product_url,product_name,price,image,product_description,unique_id,ingredients,details,currency,product_id
https://www.cleverleben.at/produkt/apfelmus-gezuckert-710g-2720754,"Apfelmus gezuckert, 710g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-20754-01730305265-6j97dFZ0.png'],"Apfelmus gezuckert, 710g",2720754,,Zum Inhalt,€,2720754
https://www.cleverleben.at/produkt/kichererbsen-400g-2723481,"Kichererbsen, 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23481-1845087313--pi031gw.png'],,2723481,,Zum Inhalt,€,2723481
https://www.cleverleben.at/produkt/champignons-500g-2721848,"Champignons, 500g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-21848-0621602386-6uAEqPwG.png'],,2721848,,Zum Inhalt,€,2721848
https://www.cleverleben.at/produkt/natives-olivenoel-extra-750ml-275932,"Natives Olivenöl extra, 750ml",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5932-01359034940-uyYLKboy.png'],"Natives Olivenöl extra, 750ml",275932,,Zum Inhalt,€,275932
https://www.cleverleben.at/produkt/kartoffelpueree-230g-27620,"Kartoffelpüree, 230g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-620-01487833877-sBz-AGvC.png'],,27620,,Zum Inhalt,€,27620
https://www.cleverleben.at/produkt/gruene-oliven-mit-paprikapaste-220g-275926,"Grüne Oliven mit Paprikapaste, 220g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5926-614973685-lAh-4Bxw.png'],"Grüne Oliven mit Paprikapaste, 220g",275926,,Zum Inhalt,€,275926
https://www.cleverleben.at/produkt/erdaepfel-vorwiegend-festkochend-5kg-276022,"Erdäpfel vorwiegend festkochend, 5kg",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-6022-017327071-8fdvvkCQ.png'],"Erdäpfel vorwiegend festkochend, 5kg",276022,,Zum Inhalt,€,276022
https://www.cleverleben.at/produkt/familienjoghurt-720g-275931,"Familienjoghurt, 720g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5931-0335159769-FPZsy1dk.png'],"Familienjoghurt, 720g",275931,,Zum Inhalt,€,275931
https://www.cleverleben.at/produkt/back-und-kochschokolade-400g-27575,"Back-  Kochschokolade, 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-575-1044362199-KZomBP-d.png'],"Back-  Kochschokolade, 400g",27575,,Zum Inhalt,€,27575
https://www.cleverleben.at/produkt/pfefferoni-scharf-600g-275908,"Pfefferoni scharf, 600g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5908-0385065481-D-6ZhIDl.png'],"Pfefferoni scharf, 600g",275908,,Zum Inhalt,€,275908
